unit	purchasable_effect	is_exclusive
steve_ark_nagashizzar_guard	tmb_balefire_magics_skeleton_nehekharan_tomb_banners	true
steve_ark_nagashizzar_guard	tmb_balefire_magics_arkhan_unique	true
wh2_dlc09_tmb_cav_hexwraiths	tmb_balefire_magics_arkhan_unique	true
wh2_dlc09_tmb_cav_hexwraiths	tmb_balefire_magics_ethereal_frostbite_attacks	true
wh2_dlc09_tmb_cav_hexwraiths	tmb_balefire_magics_cavalry_tier_1	true
wh2_dlc09_tmb_cav_hexwraiths	tmb_balefire_magics_cavalry_tier_2	true
wh2_dlc09_tmb_cav_hexwraiths	tmb_balefire_magics_cavalry_tier_3	true
wh2_dlc09_tmb_inf_crypt_ghouls	tmb_balefire_magics_skeleton_nehekharan_tomb_weapons	true
wh2_dlc09_tmb_inf_crypt_ghouls	tmb_balefire_magics_skeleton_nehekharan_tomb_armour	true
wh2_dlc09_tmb_inf_crypt_ghouls	tmb_balefire_magics_skeleton_nehekharan_tomb_relics	true
wh2_dlc09_tmb_inf_crypt_ghouls	tmb_balefire_magics_skeleton_nehekharan_tomb_banners	true
wh2_dlc09_tmb_inf_crypt_ghouls	tmb_balefire_magics_arkhan_unique	true
wh2_dlc09_tmb_mon_dire_wolves	tmb_balefire_magics_arkhan_unique	true
wh2_dlc09_tmb_mon_dire_wolves	tmb_balefire_magics_bats_carrion_dire_weapons	true
wh2_dlc09_tmb_mon_dire_wolves	tmb_balefire_magics_bats_carrion_dire_armour	true
wh2_dlc09_tmb_mon_dire_wolves	tmb_balefire_magics_bats_carrion_dire_relics	true
wh2_dlc09_tmb_mon_fell_bats	tmb_balefire_magics_bats_carrion_dire_weapons	true
wh2_dlc09_tmb_mon_fell_bats	tmb_balefire_magics_bats_carrion_dire_armour	true
wh2_dlc09_tmb_mon_fell_bats	tmb_balefire_magics_bats_carrion_dire_relics	true
wh2_dlc09_tmb_mon_fell_bats	tmb_balefire_magics_arkhan_unique	true
steve_ark_vargheist	tmb_balefire_magics_arkhan_unique	true
steve_ark_vargheist	tmb_balefire_magics_ushabti_tier_1	true
steve_ark_vargheist	tmb_balefire_magics_ushabti_tier_2	true
steve_ark_vargheist	tmb_balefire_magics_ushabti_tier_3	true
steve_ark_terrorgheist	tmb_balefire_magics_arkhan_unique	true
steve_ark_terrorgheist	tmb_balefire_magics_necro_warsphinx_heirotitan_weapons	true
steve_ark_terrorgheist	tmb_balefire_magics_necro_warsphinx_heirotitan_armour	true
steve_ark_terrorgheist	tmb_balefire_magics_necro_warsphinx_heirotitan_relics	true
steve_ark_skeleton_spearmen	tmb_balefire_magics_skeleton_nehekharan_tomb_weapons	true
steve_ark_skeleton_spearmen	tmb_balefire_magics_skeleton_nehekharan_tomb_armour	true
steve_ark_skeleton_spearmen	tmb_balefire_magics_skeleton_nehekharan_tomb_relics	true
steve_ark_skeleton_spearmen	tmb_balefire_magics_skeleton_nehekharan_tomb_banners	true
steve_ark_skeleton_spearmen	tmb_balefire_magics_khalida_unique	true
steve_ark_skeleton_spearmen	tmb_balefire_magics_settra_unique	true
steve_ark_skeleton_spearmen	tmb_balefire_magics_arkhan_unique	true
steve_ark_skeleton_spearmen	tmb_balefire_magics_khatep_unique	true
steve_ark_skeleton_warriors	tmb_balefire_magics_skeleton_nehekharan_tomb_weapons	true
steve_ark_skeleton_warriors	tmb_balefire_magics_skeleton_nehekharan_tomb_armour	true
steve_ark_skeleton_warriors	tmb_balefire_magics_skeleton_nehekharan_tomb_relics	true
steve_ark_skeleton_warriors	tmb_balefire_magics_skeleton_nehekharan_tomb_banners	true
steve_ark_skeleton_warriors	tmb_balefire_magics_khalida_unique	true
steve_ark_skeleton_warriors	tmb_balefire_magics_settra_unique	true
steve_ark_skeleton_warriors	tmb_balefire_magics_arkhan_unique	true
steve_ark_skeleton_warriors	tmb_balefire_magics_khatep_unique	true
steve_ark_skeleton_archers	tmb_balefire_magics_settra_unique	true
steve_ark_skeleton_archers	tmb_balefire_magics_arkhan_unique	true
steve_ark_skeleton_archers	tmb_balefire_magics_khatep_unique	true
steve_ark_skeleton_archers	tmb_balefire_magics_archers_tier_1	true
steve_ark_skeleton_archers	tmb_balefire_magics_archers_tier_2	true
steve_ark_skeleton_archers	tmb_balefire_magics_archers_tier_3	true
steve_ark_skeleton_archers	tmb_balefire_magics_tier_1_enchanted_arrows	true
steve_ark_skeleton_archers	tmb_balefire_magics_tier_1_unending_quivers	true
